Starting program with numThread=90 and maxConcurrent=6
Executing transactions...

20:47:013.958 - [73] Transaction1 : terminated
20:47:014.148 - [76] Transaction1 : started
20:47:014.166 - [75] Transaction3 : terminated
20:47:014.292 - [77] Transaction2 : started
20:47:014.520 - [65] Transaction2 : terminated
20:47:015.46 - [76] Transaction1 : terminated
20:47:015.72 - [78] Transaction3 : started
20:47:015.548 - [79] Transaction1 : started
20:47:015.711 - [78] Transaction3 : terminated
20:47:016.159 - [68] Transaction2 : terminated
20:47:016.350 - [81] Transaction3 : started
20:47:016.389 - [80] Transaction2 : started
20:47:016.725 - [81] Transaction3 : terminated
20:47:016.805 - [82] Transaction1 : started
20:47:016.818 - [79] Transaction1 : terminated
20:47:016.843 - [83] Transaction2 : started
20:47:017.445 - [82] Transaction1 : terminated
20:47:017.497 - [84] Transaction3 : started
20:47:017.903 - [84] Transaction3 : terminated
20:47:018.117 - [85] Transaction1 : started
20:47:019.770 - [71] Transaction2 : terminated
20:47:019.941 - [86] Transaction2 : started
20:47:019.949 - [85] Transaction1 : terminated
20:47:020.64 - [74] Transaction2 : terminated
20:47:020.173 - [88] Transaction1 : started
20:47:020.175 - [87] Transaction3 : started
20:47:020.375 - [77] Transaction2 : terminated
20:47:020.419 - [89] Transaction2 : started
20:47:020.641 - [87] Transaction3 : terminated
20:47:021.169 - [90] Transaction3 : started
20:47:021.700 - [88] Transaction1 : terminated
20:47:021.730 - [90] Transaction3 : terminated
20:47:023.305 - [83] Transaction2 : terminated
20:47:023.485 - [80] Transaction2 : terminated
20:47:026.738 - [86] Transaction2 : terminated
20:47:026.744 - [89] Transaction2 : terminated
